index,photo_url,age,act_id,name,real_name,religion,agency,spouse,children,debut_year,gender,state
0,//upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Korea_Lee_Byunghun_APSA_Awards_05.jpg/250px-Korea_Lee_Byunghun_APSA_Awards_05.jpg,50,1,이병헌,no real name,불교,BH엔터테인먼트,이민정,이준후 (아들),1991,m,1
1,//upload.wikimedia.org/wikipedia/commons/thumb/5/52/191112_%EC%A0%84%EC%A7%80%ED%98%84_%282%29.jpg/250px-191112_%EC%A0%84%EC%A7%80%ED%98%84_%282%29.jpg,39,2,전지현,왕지현(王智賢),no religion,문화창고,최준혁,2남,1997,f,1
2,//upload.wikimedia.org/wikipedia/commons/thumb/e/e1/181018_%EC%86%90%EC%98%88%EC%A7%84_04_%28cropped%29.jpg/250px-181018_%EC%86%90%EC%98%88%EC%A7%84_04_%28cropped%29.jpg,38,3,손예진,손언진,no religion,엠에스팀엔터테인먼트,no spouse,no child,1999,f,1
3,//upload.wikimedia.org/wikipedia/commons/thumb/8/88/180830_%EC%95%88%EC%86%8C%ED%9D%AC.jpg/250px-180830_%EC%95%88%EC%86%8C%ED%9D%AC.jpg,28,4,안소희,no real name,불교,BH엔터테인먼트,no spouse,no child,2004,f,1
4,//upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Kang_Dong-won_in_Feb_2016.jpg/250px-Kang_Dong-won_in_Feb_2016.jpg,39,5,강동원,no real name,무신론[1],YG 엔터테인먼트,no spouse,no child,2003,m,1
5,//upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Ha_Jung-woo.2019.jpg/250px-Ha_Jung-woo.2019.jpg,42,6,하정우,김성훈,개신교(침례회),워크하우스컴퍼니,no spouse,no child,2003,m,1
6,//upload.wikimedia.org/wikipedia/commons/thumb/5/56/181024_%EA%B9%80%ED%98%9C%EC%88%98.png/250px-181024_%EA%B9%80%ED%98%9C%EC%88%98.png,50,7,김혜수,no real name,불교,호두앤유엔터테인먼트,no spouse,no child,1986,f,1
7,//upload.wikimedia.org/wikipedia/commons/thumb/f/f8/190501_%ED%98%84%EB%B9%88.jpg/250px-190501_%ED%98%84%EB%B9%88.jpg,38,8,현빈,김태평,no religion,VAST엔터테인먼트,no spouse,no child,2003,m,1
8,//upload.wikimedia.org/wikipedia/commons/thumb/d/df/Song_Gangho_2016.jpg/250px-Song_Gangho_2016.jpg,53,9,송강호,no real name,no religion,호두엔터테인먼트,황장숙,"1남 1녀(아들 송준평, 딸 송주연)",1991,m,1
9,//upload.wikimedia.org/wikipedia/commons/thumb/c/c8/190920_%EC%A7%80%EC%B0%BD%EC%9A%B1_%281%29.jpg/250px-190920_%EC%A7%80%EC%B0%BD%EC%9A%B1_%281%29.jpg,33,10,지창욱,no real name,불교,글로리어스 엔터테인먼트,no spouse,no child,2008,m,1
10,//upload.wikimedia.org/wikipedia/commons/thumb/e/e0/170617_%ED%95%9C%ED%9A%A8%EC%A3%BC_%ED%8C%AC%EB%AF%B8%ED%8C%85.jpg/250px-170617_%ED%95%9C%ED%9A%A8%EC%A3%BC_%ED%8C%AC%EB%AF%B8%ED%8C%85.jpg,33,11,한효주,no real name,천주교(세례명: 효주 아녜스),BH 엔터테인먼트,no spouse,no child,2003,f,1
11,//upload.wikimedia.org/wikipedia/commons/thumb/5/5c/%EA%B0%90%EC%9A%B0%EC%84%B1.png/270px-%EA%B0%90%EC%9A%B0%EC%84%B1.png,50,12,감우성,no real name,no religion,에잇디크리에이티브,강민영,no child,1991,m,0
12,//upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Kang_Kyung-joon_%28South_Korean_actor%2C_born_1983%29_from_acrofan.jpg/220px-Kang_Kyung-joon_%28South_Korean_actor%2C_born_1983%29_from_acrofan.jpg,37,13,강경준,no real name,개신교,케이스타엔터테인먼트,장신영 (2018년 5월 25일 ~ 현재),"아들 강정안
아들 강정우",2004,m,0
13,//upload.wikimedia.org/wikipedia/commons/thumb/9/90/181206_%EA%B0%95%EA%B8%B0%EC%98%81.jpg/250px-181206_%EA%B0%95%EA%B8%B0%EC%98%81.jpg,37,14,강기영,no real name,no religion,유본컴퍼니,有,no child,2002,m,0
14,//upload.wikimedia.org/wikipedia/commons/thumb/8/85/Kang_Ji_Sub_from_acrofan.jpg/250px-Kang_Ji_Sub_from_acrofan.jpg,39,15,강지섭,김영섭 (金永燮),no religion,린브랜딩,no spouse,no child,2005,m,0
15,//upload.wikimedia.org/wikipedia/commons/a/a6/%EB%AA%AC%EC%8A%A4%ED%84%B0ID-%EA%B0%95%EC%A7%80%ED%99%98.jpg,43,16,강지환,조태규,no religion,no angency,no spouse,no child,2001,m,0
16,//upload.wikimedia.org/wikipedia/commons/thumb/1/17/190930_%EA%B0%95%ED%83%9C%EC%98%A4_%282%29.jpg/250px-190930_%EA%B0%95%ED%83%9C%EC%98%A4_%282%29.jpg,26,17,강태오,김윤환,no religion,맨오브크리에이션,no spouse,no child,2013,m,0
17,//upload.wikimedia.org/wikipedia/commons/thumb/8/88/170807_%EA%B0%95%ED%95%98%EB%8A%98_%28cropped%29.jpg/250px-170807_%EA%B0%95%ED%95%98%EB%8A%98_%28cropped%29.jpg,30,18,강하늘,김하늘,no religion,TH컴퍼니,no spouse,no child,2006,m,0
18,//upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Ko_Se-won_from_acrofan.jpg/250px-Ko_Se-won_from_acrofan.jpg,42,19,고세원,no real name,no religion,후너스엔터테인먼트,오렌지 라라 (신라라),no child,1997,m,0
19,//upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Ko_Chang-Seok.jpg/250px-Ko_Chang-Seok.jpg,50,20,고창석,no real name,no religion,블러썸 엔터테인먼트,이정은,딸 고예원,1987,m,0
20,//upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Kwak_Dong-yeon_at_Nov_2018.png/250px-Kwak_Dong-yeon_at_Nov_2018.png,23,21,곽동연,no real name,no religion,H&엔터테인먼트,no spouse,no child,2012,m,0
21,//upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Kwak_Siyang%2C_Chicago_Typewriter.jpg/250px-Kwak_Siyang%2C_Chicago_Typewriter.jpg,33,22,곽시양,곽명진,no religion,스타하우스엔터테인먼트,no spouse,no child,2014,m,0
22,//upload.wikimedia.org/wikipedia/commons/thumb/d/d3/190917_%EA%B6%8C%EC%83%81%EC%9A%B0.jpg/250px-190917_%EA%B6%8C%EC%83%81%EC%9A%B0.jpg,44,23,권상우,no real name,개신교,수컴퍼니,손태영,슬하 1남 1녀,2001,m,0
23,//upload.wikimedia.org/wikipedia/commons/b/b4/Kwon_Oh-Joong_from_acrofan.jpg,48,24,권오중,no real name,개신교[1],H.W 엔터프라이즈,엄윤경,아들 권혁준(1999년 출생),1992,m,0
24,//upload.wikimedia.org/wikipedia/commons/0/04/Kwon_Hyun-Sang.jpg,39,25,권현상,임동재,no religion,매니지먼트 구,no spouse,no child,2000,m,0
25,//upload.wikimedia.org/wikipedia/commons/thumb/b/bd/20191231_%EA%B8%B0%ED%83%9C%EC%98%81.jpg/250px-20191231_%EA%B8%B0%ED%83%9C%EC%98%81.jpg,41,26,기태영,김용우 (金容佑),대한예수교침례회,인컴퍼니,유진,"딸 김로희, 김로린",1997,m,0
26,//upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Kim_Kang-woo_in_Dec_2019_%28Revised%29.png/250px-Kim_Kang-woo_in_Dec_2019_%28Revised%29.png,42,27,김강우,no real name,천주교 (세례명:빈첸시오),킹엔터테인먼트,한무영,슬하 2남,2002,m,0
27,//upload.wikimedia.org/wikipedia/commons/thumb/5/5b/191231_%EA%B9%80%EA%B0%95%ED%9B%88_%281%29.jpg/250px-191231_%EA%B9%80%EA%B0%95%ED%9B%88_%281%29.jpg,11,28,김강훈,no real name,no religion,no angency,no spouse,no child,2013,m,0
28,//upload.wikimedia.org/wikipedia/commons/thumb/0/0a/%EA%B9%80%EB%82%A8%EA%B8%B8_Kim_Nam-gil_20161109_01.png/250px-%EA%B9%80%EB%82%A8%EA%B8%B8_Kim_Nam-gil_20161109_01.png,40,29,김남길,no real name,무종교,no angency,no spouse,no child,2003,m,0
29,//upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Kim_Da-hyun_on_the_red_carpet_of_The_Musical_Awards%2C_3_June_2013.jpg/250px-Kim_Da-hyun_on_the_red_carpet_of_The_Musical_Awards%2C_3_June_2013.jpg,40,30,김다현,김세현 (金世賢),no religion,원츠메이커 엔터테인먼트,아래 참조,아래 참조,2003,m,0
30,//upload.wikimedia.org/wikipedia/commons/thumb/a/ae/190520_%EA%B9%80%EB%9E%98%EC%9B%90_%281%29.jpg/250px-190520_%EA%B9%80%EB%9E%98%EC%9B%90_%281%29.jpg,39,31,김래원,no real name,천주교(세례명:요셉),HB엔터테인먼트,no spouse,no child,1997,m,0
31,//upload.wikimedia.org/wikipedia/commons/thumb/9/98/Kim_Roi-ha_at_BIFF_2013.jpg/250px-Kim_Roi-ha_at_BIFF_2013.jpg,54,32,김뢰하,no real name,장로회,DOA Corporation,박윤경(연극배우),no child,1989,m,0
32,//upload.wikimedia.org/wikipedia/commons/thumb/2/27/%EA%B9%80%EB%AC%B4%EC%97%B4_Kim_Mu-yeol_0m31s.png/250px-%EA%B9%80%EB%AC%B4%EC%97%B4_Kim_Mu-yeol_0m31s.png,38,33,김무열,no real name,no religion,프레인TPC,윤승아 (2015년 ~ 현재),no child,2002,m,0
